user_id,book_id,rating
1,7,5
1,30,1
1,140,5
1,141,5
1,175,2
1,179,1
1,212,2
1,213,1
1,458,5
1,460,5
1,461,5
1,462,5
1,464,1
1,465,2
1,466,1
1,467,5
1,470,5
1,472,5
2,214,5
2,605,5
2,113,5
2,114,1
2,115,5
2,117,2
2,125,5
2,479,2
2,482,1
2,484,2
2,674,1
2,676,1
2,772,2
3,7,2
3,214,2
3,605,1
3,113,1
3,114,1
3,659,1
3,660,1
3,662,1
3,665,1
3,666,4
3,667,5
3,674,2
3,676,4
3,772,5
3,824,2
4,21,4
4,27,5
4,31,4
4,32,4
4,51,5
4,55,5
4,58,4
4,59,5
4,85,5
4,88,5
4,98,4
4,105,5
5,7,2
5,30,5
5,140,5
5,141,2
5,457,5
5,458,5
5,460,5
5,461,4
5,462,5
5,464,5
5,465,4
5,466,4
5,467,4
5,470,4
5,472,5
6,3,4
6,4,4
6,8,4
6,878,4
6,11,4
6,250,5
6,480,4
6,504,4
6,509,4
6,597,4
6,601,4
6,632,5
6,640,4
6,675,4
6,677,4
7,429,4
7,431,4
7,462,5
7,463,4
7,499,4
7,500,4
7,573,4
7,584,4
7,724,4
7,885,4
7,1002,4
7,1044,4
7,1124,4
7,1222,5
7,1248,4
8,44,4
8,415,4
8,785,4
8,1146,4
8,5,4
8,10,4
8,17,5
8,19,4
8,20,4
8,27,5
8,59,4
8,61,4
8,66,5
8,86,4
8,88,4
8,93,4
9,95,4
9,250,4
9,480,4
9,504,5
9,509,4
9,597,4
9,12,4
9,14,5
9,21,4
9,252,4
9,736,4
9,771,5
9,835,5
9,675,4
9,632,5
10,30,5
10,140,4
10,141,5
10,175,4
10,179,4
10,212,4
10,213,4
10,458,4
10,460,4
11,15,4
11,1116,4
20,1148,4
11,1524,4
11,431,4
11,483,4
11,645,4
12,716,4
12,749,4
12,934,4
12,1017,5
12,1121,4
12,1145,5
12,1306,4
12,1639,4
12,1652,4
12,1699,4
12,1712,5
12,1586,5
12,1634,4
13,23,4
13,55,4
13,102,4
13,161,4
13,166,4
13,185,4
13,202,4
13,206,5
13,207,4
13,415,4
13,531,5
13,1551,5
13,1582,4
13,1612,4
14,28,4
14,29,4
14,36,4
14,43,4
14,42,4
14,182,5
14,207,4
14,299,5
14,452,4
14,629,4
14,821,5
15,32,4
15,67,4
15,73,5
15,74,4
15,308,4
15,13,4
15,14,5
15,18,4
15,24,5
15,75,4
16,7,4
16,36,4
16,55,5
16,80,5
16,431,4
16,483,5
16,645,5
16,668,5
16,856,5
16,1569,4
17,33,5
17,160,5
17,185,5
17,354,4
17,825,5
18,34,5
18,156,4
18,874,4
18,876,5
18,1071,5
18,1238,4
18,1656,4
18,35,4
18,48,5
18,63,5
18,69,4
18,71,4
18,75,5
18,76,4
19,35,4
19,48,5
19,63,4
19,69,4
19,71,4
19,75,5
19,76,5
19,76,5
19,203,4
19,451,4
19,693,5
20,44,5
20,415,4
20,785,4
20,1067,5
20,1082,4
20,1146,4
20,17,5
20,45,5
20,46,4
20,1071,4
21,1252,4
21,1537,4
21,1634,4
21,1637,4
21,1691,4
22,721,4
22,838,4
22,851,4
22,978,4
22,198,4
22,31,4
22,32,5
22,51,4
22,55,4
22,58,4
22,59,4
22,85,4
22,88,4
22,98,4
22,99,5
22,102,4
23,104,4
23,107,4
23,149,5
23,53,4
23,158,5
23,160,4
23,174,4
23,178,4
23,181,5
23,183,4
24,187,5
24,190,4
24,191,4
24,194,4
24,309,4
25,35,4
25,47,4
25,48,4
25,50,4
25,63,5
25,69,4
25,71,4
25,75,4
25,76,5
25,203,5
25,411,4
25,413,4
25,445,5
25,451,4
25,455,4
25,568,4
25,577,4
25,693,4
25,710,4
25,835,5
26,1083,4
26,1286,4
26,1634,5
26,1699,5
26,31,4
26,55,5
26,58,4
26,107,4
26,176,4
26,881,5
26,956,4
26,1004,4
26,1064,4
26,1140,4
26,1149,4
26,1221,4
26,1354,4
27,362,5
27,381,4
27,33,4
27,160,5
27,185,5
27,354,4
27,825,4
27,26,4
28,35,5
28,47,5
28,50,4
28,66,4
28,69,4
28,85,4
28,88,4
28,98,4
29,99,4
29,102,4
29,136,4
29,145,5
29,192,4
29,278,5
29,299,4
29,314,5
30,73,4
30,74,4
30,440,4
30,194,5
30,195,4
30,196,5
31,85,4
31,86,4
31,88,5
31,97,4
31,98,4
31,99,5
31,104,5
31,105,4
31,157,4
31,158,5
31,189,5
31,190,5
31,191,4
31,193,4
31,194,4
31,195,5
31,196,5
31,198,5
31,204,4
32,87,4
32,197,4
32,90,4
32,727,4
33,16,4
33,92,4
33,716,4
33,744,4
33,934,4
33,957,4
33,1017,4
33,1121,4
33,1145,5
33,1173,4
33,1226,4
33,1230,5
34,1306,5
34,1453,5
34,1569,4
34,1586,4
34,1593,4
35,53,4
35,93,5
35,529,5
35,1508,4
36,56,4
36,116,5
36,117,4
36,241,4
36,309,4
36,327,4
36,472,4
36,473,4
36,479,4
36,598,4
36,609,5
36,662,4
36,674,4
36,738,4
36,820,4
36,1215,5
36,1292,4
36,1576,4
36,1711,4
37,32,4
37,60,5
37,106,4
37,111,4
37,680,4
37,681,4
37,683,4
37,1359,4
37,1489,5
38,10,5
38,19,5
38,20,4
38,25,4
38,47,5
38,50,4
38,52,5
38,61,5
38,103,5
38,371,5
38,400,4
38,849,4
38,940,4
38,961,4
38,994,4
38,1000,4
38,1042,4
38,1043,4
38,1086,4
38,1331,4
38,1358,4
38,1654,5
38,1653,5
39,14,4
39,21,5
39,252,4
39,771,4
39,835,4
40,16,4
40,716,4
40,934,4
40,1017,4
40,1121,4
40,1395,4
40,1448,4
40,1453,5
40,1586,4
40,1634,4
40,1652,4
40,1699,5
40,1712,5
41,26,4
41,106,5
41,364,4
41,420,4
41,744,5
41,829,4
41,1165,5
41,1239,4
41,1251,4
41,1376,4
41,1461,5
41,1609,4
